rn,coef
(Intercept),0
trend,0.933593428
season,0.354690076
holiday,0.392589616
Preference,19859571.22
US Weather Impact Rating,5357527.065
Net Trust,-15739681.71
NPS,435178.9737
EventsCamp/Vend_Campaign_Flag,-474307.5457
Visits_Critical_Event_Flag,-227728.922
OrganicSearch_Google_Clicks_Paid_Spend,2678385.106
SocialEng_Facebook_Estimated_Clicks_Paid_Spend,386023.7378
SocialEng_YouTube_Estimated_Clicks_Paid_Spend,-555164.2077
SocialEng_Instagram_Estimated_Clicks_Paid_Spend,-242419.8811
SocialEng_Twitter_Total_Engagements_Paid_Spend,-1332897.788
SocialEng_LinkedIn_Impressions_Paid_Spend,1814988.124
SocialEng_TikTok_Impressions_Paid_Spend,-1196536.047
SEM_Google_Spend,3053205.883
Preload_IronSource_Aura_Spend,1144357.644
Programmatic_Bidease_Spend,1489940.54
Preload_Digital_Turbine_Spend,1561879.133
Programmatic_Tapjoy_Spend,644258.6201
SEM_Apple_Search_Ads_Spend,659161.979
Programmatic_LiftOff_Spend,2466551.677
Programmatic_IronSource_Sonic_Spend,0
Programmatic_Persona.ly_Spend,0
Twitter_TikTok_Combined_Spend,1766715.739
Brand_Spend,0
Influencer_Spend,0
OrganicSearch_Google_Clicks,20292604.78
SocialEng_Twitter_Total_Engagements,0
SocialEng_Facebook_Estimated_Clicks,0
SocialEng_LinkedIn_Impressions,0
SocialEng_TikTok_Impressions,0
SocialEng_YouTube_Estimated_Clicks,0
SocialEng_Instagram_Estimated_Clicks,0
